Clade	j	b	Tmin	c	Tmax	topt	resid
643	Clade A1	643	0.0771221679771352	255.780267301236	0.175118460561087	291.244714373647	8.5	3.61505051564069e-15
646	Clade A1	646	0.0871647131740058	259.673518602138	0.142141199177321	293.500553896781	10.2	5.15507048881321e-15
652	Clade A1	652	0.0125134055716192	175.539835393258	0.566269984231604	291.877293959998	11.6	3.3417528618279e-15
653	Clade A1	653	0.0688029428199029	254.653776086692	0.162674120016889	292.89848550925	9.39999999999998	1.40103811487035e-15
655	Clade A1	655	0.132639981381691	260.886317159777	0.0778745359491188	293.059814596915	8	1.05325004057301e-15
656	Clade A1	656	0.062852666708188	246.262747651586	0.0644878606432713	299.768290732713	8.39999999999998	3.84592537276713e-16
659	Clade A1	659	0.0288349596264207	225.447604795504	0.208075450197689	294.268425706649	9	2.33938507517911e-15
664	Clade A1	664	0.0308931350930404	232.377441247527	0.259466477899377	292.162469385396	9	3.25012931419276e-15
672	Clade A1	672	0.139444720642491	261.976389502161	0.0822316381742817	292.401489881518	8	1.8552687127769e-15
677	Clade A1	677	0.0532827364177771	251.658179325516	0.370340265515867	290.612771705115	10.7	6.52226499090809e-15
678	Clade A1	678	0.269042933531266	262.052728131127	0.0215549844203429	297.535549259418	8.39999999999998	1.76591782536782e-15
680	Clade A1	680	0.109506327954483	258.147962762545	0.0663980512229733	295.940394549042	8.69999999999999	1.70193966883624e-15
683	Clade A1	683	0.0185149537869976	204.449491004105	0.350735875924592	294.108955997161	11.5	1.46868701148805e-15
686	Clade A1	686	0.0408449637626814	241.393195883544	0.317694747055932	291.902992270627	10.5	2.02063640522013e-15
688	Clade A1	688	0.0362961137092941	236.473915728405	0.220826872949184	292.375443400962	8.5	2.96296457260204e-15
689	Clade A1	689	0.0392884266796431	238.826522903886	0.249270149672656	291.634664711408	8.80000000000001	4.04127281044027e-16
691	Clade A1	691	0.166772896814974	263.246988503458	0.0576664521723804	293.666162020506	8.30000000000001	3.1441076983066e-15
693	Clade A1	693	0.0452261417267389	243.192798751207	0.131993592069822	295.835293470987	9.10000000000002	6.93334056655992e-16
696	Clade A1	696	0.0622459042776407	252.251561788106	0.20619406621192	291.708200448726	9.19999999999999	3.26573569966076e-15
702	Clade A1	702	0.129803143170396	259.169853273958	0.0379986793951864	298.155439476446	8.80000000000001	3.05664380427477e-15
705	Clade A1	705	0.0347740277916535	234.773089656473	0.249307165333435	290.954581062441	7.80000000000001	1.24126707662364e-16
706	Clade A1	706	0.0363553763523208	236.889348813487	0.30136131162353	292.036216991233	10.1	4.06841829520601e-14
717	Clade A1	717	0.0838014847661603	257.140389607296	0.109921526025498	294.583799935106	9.5	9.99200722162641e-16
719	Clade A1	719	0.0413390164471236	245.667899590472	0.348465138717498	292.627064060127	11.9	9.08756711201214e-16
720	Clade A1	720	0.0293436577832258	223.78324189045	0.223039725317705	292.79766201262	8	2.25077011836309e-15
721	Clade A1	721	0.0240814783562088	218.686845684177	0.490027264363999	292.524289914866	12.3	9.08756711201214e-16
723	Clade A1	723	0.064461607783189	248.540968731772	0.0741841863245506	297.310045718048	7.80000000000001	5.0876810486276e-16
726	Clade A1	726	0.0343895057865041	233.135431505636	0.123385443154863	297.167328123865	8.39999999999998	5.0876810486276e-16
734	Clade A1	734	0.296758849377647	261.487572915346	0.0186646247873954	298.525726990366	8.5	7.19506753999772e-16
735	Clade A1	735	0.0149790255484259	185.116158902664	0.234487232942248	294.419002336269	8	1.99840144432528e-15
739	Clade A1	739	0.0335814981981685	236.320224980455	0.63513035696423	291.960601525953	13.5	2.77999490662071e-15
740	Clade A1	740	0.0325464527344686	234.523593862092	0.198168347284838	294.973072099598	10.1	1.53033682971262e-15
741	Clade A1	741	0.239184347791453	258.517722988091	0.0158348558252548	300.076260240379	7.89999999999998	2.12398170936867e-15
743	Clade A1	743	0.283798807548318	260.87754137947	0.018461899433761	297.818276652369	7.80000000000001	1.05325004057301e-15
748	Clade A1	748	0.0390809443299432	237.409537818612	0.0911207117256017	299.244876060526	8.5	1.35519990959551e-15
749	Clade A1	749	0.110543709257388	251.801959789578	0.0321419929701634	298.846317128964	6.19999999999999	9.61481343191782e-16
753	Clade A1	753	0.0165154570023016	199.389993795841	0.363717173764501	291.614216800204	9.19999999999999	2.82710941412758e-14
754	Clade A1	754	0.295269283018864	261.934221064111	0.0195795076825491	296.387404291424	7.5	1.3053975696292e-15
